Image,Beta,Alpha
Chill,0.6101502786,0.9885641672
Chill,0.9890316149,1.102945462
Chill,1.047185892,1.068062512
Chill,1.067010756,1.23388819
Chill,1.131454078,1.307823792
Chill,0.9665001431,1.106266398
Chill,0.802682116,0.9047444643
Chill,0.8581741602,1.040238255
Chill,1.066442147,0.9146443208
Chill,1.139871566,1.00421144
Chill,0.9410179818,0.8834406981
Chill,0.7909442861,0.934526921
Chill,0.8297099376,0.8823518585
Chill,0.8289107164,1.066078063
Chill,0.8758047091,1.090085472
Chill,0.8538653016,1.154000205
Chill,0.7558485138,0.943179898
Chill,0.805469982,0.9659983756
Chill,1.029696224,1.002995553
Chill,1.161345844,0.6954211831
Chill,1.012087641,0.9820145228
Chill,0.7772498098,1.015729055
Chill,0.763793917,0.9454632085
Chill,0.7515279042,0.8051467794
Chill,0.8276946263,1.070672189
Chill,1.098884892,0.9954685918
Chill,1.183260057,0.9982472508
Chill,0.9977359265,1.016999635
Chill,0.7973447308,1.016282907
Chill,0.8110688099,0.9364744459
Chill,0.7732573365,0.9863189391
Chill,0.773881452,1.090253507
Chill,0.765883954,1.040438861
Chill,0.7701109426,0.9311228865
Chill,0.7772750505,0.990504184
Chill,0.7650437135,0.9548160671
Chill,0.7712840089,0.9412979145
Chill,0.7779827683,1.036972183
Chill,0.7523867764,0.9743459399
Chill,0.7469082137,0.9024092634
Chill,0.744863935,1.014386082
Chill,0.7550136947,0.9627478813
Chill,0.759026748,0.909626254
Chill,0.775528062,1.051148141
Chill,0.7690710507,1.021617703
Chill,0.7951078159,1.167343165
Chill,0.7962034679,1.303012507
Chill,0.7767440516,1.401952186
Chill,0.7900238489,1.259461837
Chill,0.9657738667,1.019714116
Chill,1.194416818,1.146337802
Chill,1.157295546,1.089997566
Chill,0.8786982775,0.9708954911
Chill,0.7622663658,1.013696481
Chill,0.9160989936,1.017704187
Chill,1.189819411,0.9603307024
Chill,1.270956364,1.108254372
Chill,1.15550044,1.022126681
Chill,0.8690301576,0.9616630375
Chill,0.9135686386,0.8767916121
Chill,1.173859176,0.9983060602
Chill,1.177245475,1.047832875
Chill,0.9167634951,0.9358948043
Chill,0.7624564995,1.063124142
Chill,0.7480799582,1.242462063
Chill,0.7607390988,1.348782134
Chill,0.7282196358,1.122053438
Chill,0.7804142558,1.035211798
Chill,1.097753881,1.012424707
Chill,1.272129934,0.9140323018
Chill,1.25634269,0.8449233005
Chill,1.022194159,1.050000973
Chill,0.774675031,0.9335481695
Chill,0.777128458,1.01831225
Chill,0.988408949,0.8559268359
Chill,1.131762719,0.9314397124
Chill,1.014835014,1.00196364
Chill,0.8004279805,0.9152873656
Chill,0.760026369,0.9837300162
Chill,0.7880043238,0.7219326106
Chill,0.753440462,0.6972048469
Chill,0.7445383837,1.013576988
Chill,0.7580664265,0.9443292883
Chill,0.7893366629,0.9126080316
Chill,0.7929414005,1.026714319
Chill,0.7648301046,0.9415876176
Chill,0.7649065838,1.057899383
Chill,0.7620944401,1.076228709
Chill,0.7643329041,0.9305615695
Chill,0.8152255647,0.6052113623
Chill,1.088882373,0.5770231812
Chill,1.212858568,0.4944381323
Chill,1.057042663,0.7327150291
Chill,0.8209065734,0.7136822867
Chill,0.7800355981,0.5332495727
Chill,0.8437601869,0.5423347667
Chill,1.137821001,0.5676050295
Chill,1.210474687,0.5858141148
Chill,0.9930524879,0.4804287636
Chill,0.789967295,0.7332377994
Arithmetic,0.9277101226,0.7266473656
Arithmetic,1.048540133,1.145649027
Arithmetic,1.196014791,1.260515135
Arithmetic,1.172210294,0.9679710719
Arithmetic,0.8959440142,0.6639197036
Arithmetic,1.078567566,1.086831665
Arithmetic,1.217548475,1.173435895
Arithmetic,1.067174062,1.106646693
Arithmetic,0.9100138352,0.8360720278
Arithmetic,1.182419848,0.7519401287
Arithmetic,1.177006213,1.11988019
Arithmetic,0.9155960203,1.172645513
Arithmetic,0.795029272,1.082814071
Arithmetic,0.7960159866,0.7254530735
Arithmetic,0.7324915813,0.7639774898
Arithmetic,0.7700850842,1.127231835
Arithmetic,0.757826103,1.207912049
Arithmetic,0.7570668555,1.122275428
Arithmetic,1.03249669,0.7482100612
Arithmetic,1.203521742,0.5961057836
Arithmetic,1.086590155,0.9000804487
Arithmetic,0.8623716162,1.142834648
Arithmetic,1.154628116,1.164546432
Arithmetic,1.18838572,1.028607859
Arithmetic,0.9595650226,0.5691234282
Arithmetic,1.035478902,0.625272629
Arithmetic,1.209906389,0.9863151281
Arithmetic,1.105392596,1.268594672
Arithmetic,0.8876304209,1.390042842
Arithmetic,1.159173712,1.19559045
Arithmetic,1.193947074,1.00404393
Arithmetic,0.9558291107,1.140736148
Arithmetic,0.7778403083,1.237088868
Arithmetic,0.7704812394,1.319304808
Arithmetic,0.7343586012,1.046575418
Arithmetic,0.7690258714,0.6599818923
Arithmetic,0.7992589575,1.203429645
Arithmetic,0.7974011301,1.329069256
Arithmetic,0.9978080031,1.107882863
Arithmetic,1.199016954,0.6260860401
Arithmetic,1.18697167,0.7071265299
Arithmetic,1.215834747,1.211119777
Arithmetic,1.19396454,1.309172358
Arithmetic,1.212541866,1.146429208
Arithmetic,1.065523615,1.255088468
Arithmetic,1.191055483,1.247434555
Arithmetic,1.15568591,1.074588483
Arithmetic,0.8764131413,1.037753592
Arithmetic,0.7549150835,0.8887648536
Arithmetic,0.7672204863,0.9818189247
Arithmetic,0.7677516532,1.122770716
Arithmetic,0.7750839196,1.14390283
Arithmetic,0.7946968417,0.9923392396
Arithmetic,1.044101769,1.105320675
Arithmetic,1.205752528,1.176157815
Arithmetic,1.092927809,1.387760086
Arithmetic,0.8134164832,1.475453389
Arithmetic,0.771710749,1.230751447
Arithmetic,0.7547561342,0.8886133911
Arithmetic,0.7461365035,1.213147111
Arithmetic,0.8075876365,1.357218624
Arithmetic,1.090639276,1.154094618
Arithmetic,1.210835959,0.5756508099
Arithmetic,1.048658647,1.155686281
Arithmetic,0.7941129926,1.33450098
Arithmetic,0.7577308522,1.168184394
Arithmetic,0.6959459083,0.5561362623
Arithmetic,0.7838991837,1.12647968
Arithmetic,1.109798615,1.338873217
Arithmetic,1.225607364,1.213738429
Arithmetic,1.229866027,0.9979672706
